行政區別	宋原通	林佳龍（民主進步黨）	盧秀燕（中國國民黨）	投票率
　大甲區	484	"18,523"	"22,958"	70.63
　大安區	148	"5,009"	"6,732"	76.31
　外埔區	215	"7,124"	"11,040"	71.87
　清水區	525	"22,912"	"25,523"	72.51
　梧棲區	365	"14,663"	"15,729"	69.41
　沙鹿區	530	"20,835"	"26,784"	68.79
　龍井區	572	"18,048"	"22,757"	69.11
　大肚區	388	"13,558"	"17,821"	70.98
　烏日區	465	"16,911"	"22,951"	69.12
　后里區	420	"12,815"	"17,677"	72.81
　豐原區	986	"42,504"	"46,436"	69.38
　神岡區	424	"18,095"	"17,928"	70.60
　大雅區	592	"20,342"	"27,797"	66.93
　潭子區	581	"24,836"	"31,938"	67.68
　西屯區	"1,083"	"43,307"	"67,437"	64.61
　南屯區	914	"34,396"	"49,134"	66.56
　北屯區	"1,268"	"53,504"	"84,485"	64.50
　北區	745	"30,187"	"45,769"	64.72
　中區	86	"4,173"	"4,859"	65.41
　西區	618	"25,616"	"33,534"	66.32
　東區	458	"19,078"	"22,055"	68.22
　南區	658	"28,330"	"37,250"	67.82
　太平區	"1,057"	"40,025"	"53,613"	63.32
　大里區	"1,202"	"46,571"	"57,527"	64.73
　霧峰區	415	"16,151"	"20,936"	71.55
　東勢區	330	"10,727"	"18,216"	71.53
　石岡區	110	"3,571"	"5,393"	74.56
　新社區	209	"6,009"	"8,767"	76.12
　和平區	71	"2,035"	"4,950"	78.30
