行政區別,村里別,投開票所別,陳美妃（無）,蔡其昌（民主進步黨）,盧秀燕（中國國民黨）,投票率
大甲區,,,506,"17,446","20,730",65.17
大安區,,,145,"4,641","5,583",67.76
外埔區,,,227,"6,779","10,098",66.42
清水區,,,708,"22,854","23,021",65.12
梧棲區,,,498,"14,124","15,009",63.24
沙鹿區,,,805,"19,535","26,653",63.32
龍井區,,,721,"15,437","21,260",60.29
大肚區,,,551,"11,030","17,621",63.93
烏日區,,,691,"14,738","22,739",61.62
后里區,,,507,"10,435","17,009",64.95
豐原區,,,"1,469","33,736","46,807",62.86
神岡區,,,539,"14,081","18,155",62.63
大雅區,,,859,"16,129","27,697",59.50
潭子區,,,840,"19,925","31,328",59.46
西屯區,,,"1,708","37,021","63,173",56.33
南屯區,,,"1,441","30,409","47,655",58.06
北屯區,,,"2,034","46,812","83,304",56.59
北區,,,"1,147","25,143","41,492",57.70
中區,,,126,"3,231","4,205",56.73
西區,,,864,"21,167","30,741",59.33
東區,,,647,"15,545","21,589",60.73
南區,,,"1,139","22,877","36,298",59.54
太平區,,,"1,609","33,350","52,324",55.62
大里區,,,"1,917","38,099","57,743",58.28
霧峰區,,,579,"12,589","20,770",64.26
東勢區,,,430,"8,341","17,671",65.89
石岡區,,,133,"2,678","5,192",66.70
新社區,,,214,"4,638","8,277",67.34
和平區,,,86,"1,434","4,963",71.24
