state,county_name,year,state_po,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode
ALABAMA,AUTAUGA,2016,AL,1001,US PRESIDENT,DONALD TRUMP,REPUBLICAN,18172,24973,20260225,TOTAL
ALABAMA,AUTAUGA,2016,AL,1001,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,5936,24973,20260225,TOTAL
ALABAMA,AUTAUGA,2016,AL,1001,US PRESIDENT,OTHER,OTHER,865,24973,20260225,TOTAL
ALABAMA,BALDWIN,2016,AL,1003,US PRESIDENT,DONALD TRUMP,REPUBLICAN,72883,95215,20260225,TOTAL
ALABAMA,BALDWIN,2016,AL,1003,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,18458,95215,20260225,TOTAL
ALABAMA,BALDWIN,2016,AL,1003,US PRESIDENT,OTHER,OTHER,3874,95215,20260225,TOTAL
ALABAMA,BARBOUR,2016,AL,1005,US PRESIDENT,DONALD TRUMP,REPUBLICAN,5454,10469,20260225,TOTAL
ALABAMA,BARBOUR,2016,AL,1005,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,4871,10469,20260225,TOTAL
ALABAMA,BARBOUR,2016,AL,1005,US PRESIDENT,OTHER,OTHER,144,10469,20260225,TOTAL
ALABAMA,BIBB,2016,AL,1007,US PRESIDENT,DONALD TRUMP,REPUBLICAN,6738,8819,20260225,TOTAL
ALABAMA,BIBB,2016,AL,1007,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1874,8819,20260225,TOTAL
ALABAMA,BIBB,2016,AL,1007,US PRESIDENT,OTHER,OTHER,207,8819,20260225,TOTAL
ALABAMA,BLOUNT,2016,AL,1009,US PRESIDENT,DONALD TRUMP,REPUBLICAN,22859,25588,20260225,TOTAL
ALABAMA,BLOUNT,2016,AL,1009,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2156,25588,20260225,TOTAL
ALABAMA,BLOUNT,2016,AL,1009,US PRESIDENT,OTHER,OTHER,573,25588,20260225,TOTAL
ALABAMA,BULLOCK,2016,AL,1011,US PRESIDENT,DONALD TRUMP,REPUBLICAN,1140,4710,20260225,TOTAL
ALABAMA,BULLOCK,2016,AL,1011,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3530,4710,20260225,TOTAL
ALABAMA,BULLOCK,2016,AL,1011,US PRESIDENT,OTHER,OTHER,40,4710,20260225,TOTAL
ALABAMA,BUTLER,2016,AL,1013,US PRESIDENT,DONALD TRUMP,REPUBLICAN,4901,8732,20260225,TOTAL
ALABAMA,BUTLER,2016,AL,1013,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3726,8732,20260225,TOTAL
ALABAMA,BUTLER,2016,AL,1013,US PRESIDENT,OTHER,OTHER,105,8732,20260225,TOTAL
ALABAMA,CALHOUN,2016,AL,1015,US PRESIDENT,DONALD TRUMP,REPUBLICAN,32865,47864,20260225,TOTAL
ALABAMA,CALHOUN,2016,AL,1015,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,13242,47864,20260225,TOTAL
ALABAMA,CALHOUN,2016,AL,1015,US PRESIDENT,OTHER,OTHER,1757,47864,20260225,TOTAL
ALABAMA,CHAMBERS,2016,AL,1017,US PRESIDENT,DONALD TRUMP,REPUBLICAN,7843,13900,20260225,TOTAL
ALABAMA,CHAMBERS,2016,AL,1017,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,5784,13900,20260225,TOTAL
ALABAMA,CHAMBERS,2016,AL,1017,US PRESIDENT,OTHER,OTHER,273,13900,20260225,TOTAL
ALABAMA,CHEROKEE,2016,AL,1019,US PRESIDENT,DONALD TRUMP,REPUBLICAN,8953,10733,20260225,TOTAL
ALABAMA,CHEROKEE,2016,AL,1019,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1547,10733,20260225,TOTAL
ALABAMA,CHEROKEE,2016,AL,1019,US PRESIDENT,OTHER,OTHER,233,10733,20260225,TOTAL
ALABAMA,CHILTON,2016,AL,1021,US PRESIDENT,DONALD TRUMP,REPUBLICAN,15081,18369,20260225,TOTAL
ALABAMA,CHILTON,2016,AL,1021,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2911,18369,20260225,TOTAL
ALABAMA,CHILTON,2016,AL,1021,US PRESIDENT,OTHER,OTHER,377,18369,20260225,TOTAL
ALABAMA,CHOCTAW,2016,AL,1023,US PRESIDENT,DONALD TRUMP,REPUBLICAN,4106,7292,20260225,TOTAL
ALABAMA,CHOCTAW,2016,AL,1023,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3109,7292,20260225,TOTAL
ALABAMA,CHOCTAW,2016,AL,1023,US PRESIDENT,OTHER,OTHER,77,7292,20260225,TOTAL
ALABAMA,CLARKE,2016,AL,1025,US PRESIDENT,DONALD TRUMP,REPUBLICAN,7140,13031,20260225,TOTAL
ALABAMA,CLARKE,2016,AL,1025,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,5749,13031,20260225,TOTAL
ALABAMA,CLARKE,2016,AL,1025,US PRESIDENT,OTHER,OTHER,142,13031,20260225,TOTAL
ALABAMA,CLAY,2016,AL,1027,US PRESIDENT,DONALD TRUMP,REPUBLICAN,5245,6624,20260225,TOTAL
ALABAMA,CLAY,2016,AL,1027,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1237,6624,20260225,TOTAL
ALABAMA,CLAY,2016,AL,1027,US PRESIDENT,OTHER,OTHER,142,6624,20260225,TOTAL
ALABAMA,CLEBURNE,2016,AL,1029,US PRESIDENT,DONALD TRUMP,REPUBLICAN,5764,6593,20260225,TOTAL
ALABAMA,CLEBURNE,2016,AL,1029,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,684,6593,20260225,TOTAL
ALABAMA,CLEBURNE,2016,AL,1029,US PRESIDENT,OTHER,OTHER,145,6593,20260225,TOTAL
ALABAMA,COFFEE,2016,AL,1031,US PRESIDENT,DONALD TRUMP,REPUBLICAN,15875,20767,20260225,TOTAL
ALABAMA,COFFEE,2016,AL,1031,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,4221,20767,20260225,TOTAL
ALABAMA,COFFEE,2016,AL,1031,US PRESIDENT,OTHER,OTHER,671,20767,20260225,TOTAL
ALABAMA,COLBERT,2016,AL,1033,US PRESIDENT,DONALD TRUMP,REPUBLICAN,16746,24915,20260225,TOTAL
ALABAMA,COLBERT,2016,AL,1033,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,7312,24915,20260225,TOTAL
ALABAMA,COLBERT,2016,AL,1033,US PRESIDENT,OTHER,OTHER,857,24915,20260225,TOTAL
ALABAMA,CONECUH,2016,AL,1035,US PRESIDENT,DONALD TRUMP,REPUBLICAN,3420,6585,20260225,TOTAL
ALABAMA,CONECUH,2016,AL,1035,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3080,6585,20260225,TOTAL
ALABAMA,CONECUH,2016,AL,1035,US PRESIDENT,OTHER,OTHER,85,6585,20260225,TOTAL
ALABAMA,COOSA,2016,AL,1037,US PRESIDENT,DONALD TRUMP,REPUBLICAN,3381,5252,20260225,TOTAL
ALABAMA,COOSA,2016,AL,1037,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1782,5252,20260225,TOTAL
ALABAMA,COOSA,2016,AL,1037,US PRESIDENT,OTHER,OTHER,89,5252,20260225,TOTAL
ALABAMA,COVINGTON,2016,AL,1039,US PRESIDENT,DONALD TRUMP,REPUBLICAN,13267,15940,20260225,TOTAL
ALABAMA,COVINGTON,2016,AL,1039,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2387,15940,20260225,TOTAL
ALABAMA,COVINGTON,2016,AL,1039,US PRESIDENT,OTHER,OTHER,286,15940,20260225,TOTAL
ALABAMA,CRENSHAW,2016,AL,1041,US PRESIDENT,DONALD TRUMP,REPUBLICAN,4513,6267,20260225,TOTAL
ALABAMA,CRENSHAW,2016,AL,1041,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1664,6267,20260225,TOTAL
ALABAMA,CRENSHAW,2016,AL,1041,US PRESIDENT,OTHER,OTHER,90,6267,20260225,TOTAL
ALABAMA,CULLMAN,2016,AL,1043,US PRESIDENT,DONALD TRUMP,REPUBLICAN,32989,37873,20260225,TOTAL
ALABAMA,CULLMAN,2016,AL,1043,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3798,37873,20260225,TOTAL
ALABAMA,CULLMAN,2016,AL,1043,US PRESIDENT,OTHER,OTHER,1086,37873,20260225,TOTAL
ALABAMA,DALE,2016,AL,1045,US PRESIDENT,DONALD TRUMP,REPUBLICAN,13808,18749,20260225,TOTAL
ALABAMA,DALE,2016,AL,1045,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,4413,18749,20260225,TOTAL
ALABAMA,DALE,2016,AL,1045,US PRESIDENT,OTHER,OTHER,528,18749,20260225,TOTAL
ALABAMA,DALLAS,2016,AL,1047,US PRESIDENT,DONALD TRUMP,REPUBLICAN,5789,18792,20260225,TOTAL
ALABAMA,DALLAS,2016,AL,1047,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,12836,18792,20260225,TOTAL
ALABAMA,DALLAS,2016,AL,1047,US PRESIDENT,OTHER,OTHER,167,18792,20260225,TOTAL
ALABAMA,DEKALB,2016,AL,1049,US PRESIDENT,DONALD TRUMP,REPUBLICAN,21405,25826,20260225,TOTAL
ALABAMA,DEKALB,2016,AL,1049,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3622,25826,20260225,TOTAL
ALABAMA,DEKALB,2016,AL,1049,US PRESIDENT,OTHER,OTHER,799,25826,20260225,TOTAL
ALABAMA,ELMORE,2016,AL,1051,US PRESIDENT,DONALD TRUMP,REPUBLICAN,27634,37260,20260225,TOTAL
ALABAMA,ELMORE,2016,AL,1051,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,8443,37260,20260225,TOTAL
ALABAMA,ELMORE,2016,AL,1051,US PRESIDENT,OTHER,OTHER,1183,37260,20260225,TOTAL
ALABAMA,ESCAMBIA,2016,AL,1053,US PRESIDENT,DONALD TRUMP,REPUBLICAN,9935,14845,20260225,TOTAL
ALABAMA,ESCAMBIA,2016,AL,1053,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,4605,14845,20260225,TOTAL
ALABAMA,ESCAMBIA,2016,AL,1053,US PRESIDENT,OTHER,OTHER,305,14845,20260225,TOTAL
ALABAMA,ETOWAH,2016,AL,1055,US PRESIDENT,DONALD TRUMP,REPUBLICAN,32353,44164,20260225,TOTAL
